prompt_id,metric,field,expected,actual,expected_field,actual_field,pass,severity,reason
canonical,entity_count:products,entity_count:products,1,1,1,1,True,blocking,"required products, participants, routes, and technologies must be recovered"
canonical,entity_count:source_supplier_entities,entity_count:source_supplier_entities,1,1,1,1,True,blocking,"required products, participants, routes, and technologies must be recovered"
canonical,entity_count:demand_consumer_entities,entity_count:demand_consumer_entities,2,2,2,2,True,blocking,"required products, participants, routes, and technologies must be recovered"
canonical,entity_count:transport_paths,entity_count:transport_paths,2,2,2,2,True,blocking,"required products, participants, routes, and technologies must be recovered"
canonical,entity_count:technologies,entity_count:technologies,0,0,0,0,True,blocking,"required products, participants, routes, and technologies must be recovered"
canonical,entity_count:products_include_manure,entity_count:products_include_manure,True,True,True,True,True,blocking,"required products, participants, routes, and technologies must be recovered"
canonical,entity_count:manure_source_supplier_entities,entity_count:manure_source_supplier_entities,1,1,1,1,True,blocking,"required products, participants, routes, and technologies must be recovered"
canonical,entity_count:manure_demand_consumer_entities,entity_count:manure_demand_consumer_entities,2,2,2,2,True,blocking,"required products, participants, routes, and technologies must be recovered"
canonical,entity_count:manure_transport_paths_from_source,entity_count:manure_transport_paths_from_source,2,2,2,2,True,blocking,"required products, participants, routes, and technologies must be recovered"
canonical,topology:one_source_node,topology:one_source_node,True,True,True,True,True,blocking,required network topology and product semantics must be recovered
canonical,topology:distinct_sink_nodes,topology:distinct_sink_nodes,2,2,2,2,True,blocking,required network topology and product semantics must be recovered
canonical,topology:source_outgoing_to_two_sinks,topology:source_outgoing_to_two_sinks,True,True,True,True,True,blocking,required network topology and product semantics must be recovered
canonical,topology:no_technologies,topology:no_technologies,True,True,True,True,True,blocking,required network topology and product semantics must be recovered
canonical,topology:negative_bid_detection,topology:negative_bid_detection,True,True,True,True,True,blocking,required network topology and product semantics must be recovered
canonical,topology:transport_product_semantics,topology:transport_product_semantics,"[""Manure"", ""Manure""]","[""Manure"", ""Manure""]","[""Manure"", ""Manure""]","[""Manure"", ""Manure""]",True,blocking,required network topology and product semantics must be recovered
canonical,parameter:supplier_capacities,parameter:supplier_capacities,[1000.0],[1000.0],[1000.0],[1000.0],True,blocking,all supplier capacities must be recovered
canonical,parameter:consumer_capacities,parameter:consumer_capacities,"[500.0, 500.0]","[500.0, 500.0]","[500.0, 500.0]","[500.0, 500.0]",True,blocking,all consumer capacities must be recovered
canonical,parameter:consumer_bid_prices,parameter:consumer_bid_prices,"[-0.5, 1.5]","[-0.5, 1.5]","[-0.5, 1.5]","[-0.5, 1.5]",True,blocking,all consumer bid prices must be recovered
canonical,parameter:supplier_bid_prices,parameter:supplier_bid_prices,[0.0],[0.0],[0.0],[0.0],True,blocking,all supplier bid prices must be recovered
canonical,parameter:transport_costs,parameter:transport_costs,"[0.1, 0.2]","[0.1, 0.2]","[0.1, 0.2]","[0.1, 0.2]",True,blocking,transport-cost multiset is diagnostic; route association is checked separately
canonical,parameter:transport_capacities,parameter:transport_capacities,"[1000.0, 1000.0]","[1000.0, 1000.0]","[1000.0, 1000.0]","[1000.0, 1000.0]",True,blocking,all required transport capacities must be recovered
canonical,transport_link:EauClaire_to_Menomonie:Manure,transport_link:EauClaire_to_Menomonie:Manure,"{""destination"": ""Menomonie"", ""origin"": ""EauClaire"", ""product"": ""Manure""}","{""capacity"": 1000.0, ""cost"": 0.1, ""destination"": ""menomonie"", ""origin"": ""eau_claire"", ""product"": ""manure""}","{""destination"": ""Menomonie"", ""origin"": ""EauClaire"", ""product"": ""Manure""}","{""capacity"": 1000.0, ""cost"": 0.1, ""destination"": ""menomonie"", ""origin"": ""eau_claire"", ""product"": ""manure""}",True,blocking,each expected transport link must be recovered
canonical,transport_cost:EauClaire_to_Menomonie:Manure,transport_cost:EauClaire_to_Menomonie:Manure,0.1,0.1,0.1,0.1,True,blocking,"route-specific transport costs must stay attached to the correct origin, destination, and product"
